	domain	phylum	class	order	family	genus	species
ASV_1	Eukaryota	Protalveolata	Syndiniales	NA	Syndiniales Group I	NA	NA
ASV_2	Eukaryota	Dinoflagellata	Dinophyceae	Gonyaulacales	NA	Alexandrium	NA
ASV_3	Eukaryota	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_4	Eukaryota	Arthropoda	Maxillopoda	Calanoida	NA	NA	NA
ASV_5	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	NA	NA	NA
ASV_6	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Kareniaceae	Karlodinium	NA
ASV_7	Eukaryota	Protalveolata	Syndiniales	NA	Syndiniales Group I	NA	NA
ASV_8	NA	NA	NA	NA	NA	NA	NA
ASV_9	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	NA	Gyrodinium	NA
ASV_10	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	NA	Gyrodinium	NA
ASV_11	Eukaryota	Dinoflagellata	Dinophyceae	NA	Thoracosphaeraceae	Cryptoperidiniopsis	NA
ASV_12	Eukaryota	NA	NA	Cryptomonadales	NA	Hemiselmis	NA
ASV_13	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_14	Eukaryota	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_15	Eukaryota	NA	NA	Cryptomonadales	NA	Hemiselmis	NA
ASV_16	NA	NA	NA	NA	NA	NA	NA
ASV_17	Eukaryota	NA	NA	Cryptomonadales	NA	Hemiselmis	NA
ASV_18	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	NA	NA	NA
ASV_19	Eukaryota	NA	NA	Cryptomonadales	NA	NA	NA
ASV_20	Eukaryota	Porphyridiophyceae	NA	NA	NA	Porphyridium	NA
ASV_21	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Gymnodinium clade	Paragymnodinium	NA
ASV_22	Eukaryota	Picozoa	Picomonadida	Picomonadidae	NA	Picomonas	NA
ASV_23	Eukaryota	NA	Chrysophyceae	NA	NA	NA	NA
