SampleNo,Year.Station,Year,LocnDescriptor,LocnNumber.NtoS,Long-N,Lat-W,Depth,Temp,Cond,Sal,DO_pct,DO_mgL,chl-a,LiveWater,Lugols,Glut,Fv/Fm,Nanodrop_conc,Nanodrop_260280,Nanodrop_260230
101,2,2015,UpperBasin,2,41.508453,71.450584,1,26.65,30.98,19.21,108.5,7.82,7.7,101,381,257,,,,
102,4,2015,LowerBasin,3,41.504829,71.450852,1,26.49,33.41,20.87,120.2,8.56,8.25,102,378,259,,,,
103,1,2015,UpperBasin,1,41.514912,71.447258,5,21.7,32.57,20.39,4.5,0.33,313.2,103,383,255,,,,
104,1,2015,UpperBasin,1,41.514912,71.447258,6,14.3,34.2,21.5,-0.6,-0.06,51.8,104,382,249,,,,
105,7,2015,ShallowRiver,6,41.486538,71.448236,0.5,26.8,34.33,21.51,119,8.39,15.75,105,369,244,,,,
106,2,2015,UpperBasin,2,41.508453,71.450584,4,24.98,32.11,20.02,57.4,4.12,19.2,106,379,250,,,,
107,4,2015,LowerBasin,3,41.504829,71.450852,4,25.5,35.86,22.59,23.1,1.66,21.3,107,377,247,,,,
108,4,2015,LowerBasin,3,41.504829,71.450852,5,23.4,37.22,23.58,1,0.08,76.6,"""108,109,110""",376,253,,,,
111,5,2015,LowerBasin,4,41.500978,71.450717,1,26.57,33.44,20.9,1188.3,8.35,9.95,111,375,260,,,,
113,5,2015,LowerBasin,4,41.500978,71.450717,4,25.47,35.9,22.63,16.9,1.25,11.9,113,374,258,,,,
114,5,2015,LowerBasin,4,41.500978,71.450717,5,23.51,37.24,23.55,1.2,0.08,185.133,"""114,115,116""",373,256,,,,
116,6,2015,LowerBasin,5,41.498394,71.450642,1,26.63,33.62,21.02,128,8.63,16.6,116,372,251,,,,
117,6,2015,LowerBasin,5,41.498394,71.450642,4,25.67,35.75,22.53,31.8,2.25,14.8,117,371,252,,,,
119,1,2015,UpperBasin,1,41.514912,71.447258,1,26.65,30.98,19.21,108.5,7.82,7.5,119,384,248,,,,
120,8,2015,ShallowRiver,7,41.467651,71.449483,0.5,27.16,37.59,23.77,120.1,8.29,12.75,120,368,245,,,,
121,6,2015,LowerBasin,5,41.498394,71.450642,5,23.11,37.51,23.8,1.8,0.12,34.6,"""121,122,126""",252,254,,,,
122,6,2015,LowerBasin,5,41.498394,71.450642,5,23.11,37.51,23.8,1.8,0.12,34.6,"""121,122,126""",252,254,,,,
124,9,2015,ShallowRiver,8,41.4593,71.45205,0.5,26.18,44.12,28.42,129.7,8.86,14.7,125,367,234,,,,
125,10,2015,ShallowRiver,9,41.445754,71.447285,1,25.99,47.71,31.04,134,9.12,11.1,124,366,239,,,,
1601,1,2016,ShallowRiver,9,,,1,23.4,43.56,28.1,79,5.65,,1601,1701,1618,0.487,19.6,2.01,2.04
1602,2,2016,ShallowRiver,8,,,1,24.2,38.44,24.44,86.5,6.3,,1602,1702,1617,0.48,40.7,1.93,2.04
1603,3,2016,ShallowRiver,7,,,0.5,23.85,34.23,21.5,89.2,6.54,,1603,1703,1613,0.596,43.5,1.91,1.87
1604,4,2016,ShallowRiver,6,,,0.5,24,33.81,21.1,96.4,7.21,,1604,1704,1601,0.566,33.3,1.98,2.02
1605,5,2016,LowerBasin,5,,,1,24.12,33.78,21.18,103.5,7.71,,1605,1705,1619,0.48,37.1,2.04,2.07
1606,6,2016,LowerBasin,4,,,1,24.5,33.71,21.13,101,7.43,,1606,1707,1612,0.431,91.6,1.73,1.91
1607,7,2016,LowerBasin,3,,,1,23.77,33.79,21.19,104.4,7.82,,1607,1709,1609,0.494,78.9,1.79,1.98
1608,8,2016,UpperBasin,1,,,1,24.38,32.19,20.08,97.2,7.26,,1608,1711,1602,0.413,115.6,1.73,1.87
1609,9,2016,UpperBasin,2,,,1,24.05,32.43,20.25,97.2,7.25,,1609,1713,242,0.457,84.5,1.79,1.89
1616,6,2016,LowerBasin,4,,,7,12.51,41.84,26.74,0.1,0,,1616,1706,1616,-0.031,84.4,1.77,1.88
1617,6,2016,LowerBasin,4,,,6,19.8,37.4,23.77,0.4,0.02,,1617,1722,1620,,94.3,1.83,1.93
1618,6,2016,LowerBasin,4,,,5,21.55,35.31,22.28,43.2,3.33,,1618,1723,1614,0.469,46.9,1.76,1.92
1619,7,2016,LowerBasin,3,,,6,18.98,37.71,23.93,-0.04,-0.02,,1619,1708,1603,0.482,99.5,1.86,2.01
1620,7,2016,LowerBasin,3,,,5.5,20.245,36.545,23.14,22.38,1.73,,1620,1724,1615,0.474,64,1.76,1.89
1621,7,2016,LowerBasin,3,,,5,21.51,35.38,22.35,44.8,3.48,,1621,1725,1611,0.496,53.8,1.71,1.93
1622,8,2016,UpperBasin,1,,,6,20.28,33.36,20.93,-1.4,-0.1,,1622,1710,1607,0.496,67.2,1.79,1.95
1623,8,2016,UpperBasin,1,,,5.5,21.07,33.275,20.87,13.05,1.03,,1623,1726,1606,0.439,74.9,1.73,1.86
1624,8,2016,UpperBasin,1,,,5,21.86,33.19,20.81,27.5,2.16,,1624,1727,1605,0.478,72.7,1.73,1.86
1625,9,2016,UpperBasin,2,,,7,11.45,35.36,22.21,-6.5,-0.62,,1625,1712,1608,-0.158,91.4,1.75,1.91
1626,9,2016,UpperBasin,2,,,6,20.82,33.22,20.84,3.1,0.26,,1626,1728,1601,0.454,113.1,1.73,1.89
1627,9,2016,UpperBasin,2,,,5,21.72,33.22,20.83,21.6,1.7,,1627,1729,1604,0.475,98.1,1.72,1.83
